"reef_name","global_label","year","Mean","SD","N","SE","surveyid","sub_region","optional","Bleaching","Cyclone","Density","Threat","Density.cat","Cyclone.cat","Bleaching.cat","Threat.cat","lng","lat"
"14034 Reef","OTH-SF",2012,0.0840414507772021,0.122959335850859,193,0.00885080666470467,15031,"Far Northern",TRUE,0.124344639480114,1.49714231491089,0.00536771072074771,3.35357809066772,"Low","Low","Low","High",144.6588966,-13.92851796
"14034 Reef","OTHER",2012,0.00652849740932642,0.0192805619493994,193,0.00138784521744637,15031,"Far Northern",TRUE,0.124344639480114,1.49714231491089,0.00536771072074771,3.35357809066772,"Low","Low","Low","High",144.6588966,-13.92851796
"15041 Reef","ACR_BRA",2012,0.0880434782608696,0.15469387800125,92,0.0161279516648236,12003,"Cairns-Cooktown",TRUE,0.18532994389534,2.0400607585907,0.0143470941111445,2.89838457107544,"High","High","High","Low",145.763166,-15.397312
"15041 Reef","ACR_TCD",2012,0.0139130434782609,0.0271324193474603,92,0.00282875026109327,12003,"Cairns-Cooktown",TRUE,0.18532994389534,2.0400607585907,0.0143470941111445,2.89838457107544,"High","High","High","Low",145.763166,-15.397312
"15041 Reef","BRA_nACR",2012,0.075,0.120862286540063,92,0.0126007644297498,12003,"Cairns-Cooktown",TRUE,0.18532994389534,2.0400607585907,0.0143470941111445,2.89838457107544,"High","High","High","Low",145.763166,-15.397312
"15041 Reef","CCA",2012,0.0471739130434783,0.0472153375843184,92,0.00492253922545056,12003,"Cairns-Cooktown",TRUE,0.18532994389534,2.0400607585907,0.0143470941111445,2.89838457107544,"High","High","High","Low",145.763166,-15.397312
"15041 Reef","EAM",2012,0.525434782608696,0.208249707694626,92,0.021711532888751,12003,"Cairns-Cooktown",TRUE,0.18532994389534,2.0400607585907,0.0143470941111445,2.89838457107544,"High","High","High","Low",145.763166,-15.397312
"15041 Reef","FLP",2012,0.0310869565217391,0.0543787394164812,92,0.00566937549329496,12003,"Cairns-Cooktown",TRUE,0.18532994389534,2.0400607585907,0.0143470941111445,2.89838457107544,"High","High","High","Low",145.763166,-15.397312
"15041 Reef","GORG",2012,0,0,92,0,12003,"Cairns-Cooktown",TRUE,0.18532994389534,2.0400607585907,0.0143470941111445,2.89838457107544,"High","High","High","Low",145.763166,-15.397312
"15041 Reef","MACRO",2012,0.00608695652173913,0.0117629070320326,92,0.00122636783369606,12003,"Cairns-Cooktown",TRUE,0.18532994389534,2.0400607585907,0.0143470941111445,2.89838457107544,"High","High","High","Low",145.763166,-15.397312
"15041 Reef","MSE",2012,0.0480434782608696,0.0918220822687243,92,0.00957311384088178,12003,"Cairns-Cooktown",TRUE,0.18532994389534,2.0400607585907,0.0143470941111445,2.89838457107544,"High","High","High","Low",145.763166,-15.397312
"15041 Reef","MSEM",2012,0.0167391304347826,0.0579713588937054,92,0.00604393196590669,12003,"Cairns-Cooktown",TRUE,0.18532994389534,2.0400607585907,0.0143470941111445,2.89838457107544,"High","High","High","Low",145.763166,-15.397312
"15041 Reef","NON_COLONIZABLE",2012,0.0878260869565217,0.156807617042482,92,0.0163483241936497,12003,"Cairns-Cooktown",TRUE,0.18532994389534,2.0400607585907,0.0143470941111445,2.89838457107544,"High","High","High","Low",145.763166,-15.397312
"15041 Reef","OTH-SF",2012,0.0545652173913043,0.0718425176918506,92,0.00749010024045063,12003,"Cairns-Cooktown",TRUE,0.18532994389534,2.0400607585907,0.0143470941111445,2.89838457107544,"High","High","High","Low",145.763166,-15.397312
"15041 Reef","OTHER",2012,0.00608695652173913,0.0117629070320326,92,0.00122636783369606,12003,"Cairns-Cooktown",TRUE,0.18532994389534,2.0400607585907,0.0143470941111445,2.89838457107544,"High","High","High","Low",145.763166,-15.397312
"Agincourt Reef 2b","ACR_BRA",2012,0.0634782608695652,0.168682254013041,92,0.017586340678678,14012,"Cairns-Cooktown",TRUE,0.22643569111824,1.88456606864929,0.187423273921013,3.12915778160095,"High","High","High","Low",145.858209,-16.031968
"Agincourt Reef 2b","ACR_TCD",2012,0.0119565217391304,0.0255161715769544,92,0.00266024478267422,14012,"Cairns-Cooktown",TRUE,0.22643569111824,1.88456606864929,0.187423273921013,3.12915778160095,"High","High","High","Low",145.858209,-16.031968
"Agincourt Reef 2b","BRA_nACR",2012,0.0478260869565217,0.0547486983528651,92,0.0057079463787176,14012,"Cairns-Cooktown",TRUE,0.22643569111824,1.88456606864929,0.187423273921013,3.12915778160095,"High","High","High","Low",145.858209,-16.031968
"Agincourt Reef 2b","CCA",2012,0.0347826086956522,0.0536877062660432,92,0.00559733030706617,14012,"Cairns-Cooktown",TRUE,0.22643569111824,1.88456606864929,0.187423273921013,3.12915778160095,"High","High","High","Low",145.858209,-16.031968
"Agincourt Reef 2b","EAM",2012,0.439565217391304,0.23913724526635,92,0.024931781287968,14012,"Cairns-Cooktown",TRUE,0.22643569111824,1.88456606864929,0.187423273921013,3.12915778160095,"High","High","High","Low",145.858209,-16.031968
"Agincourt Reef 2b","FLP",2012,0.0243478260869565,0.054496785827715,92,0.00568168268242995,14012,"Cairns-Cooktown",TRUE,0.22643569111824,1.88456606864929,0.187423273921013,3.12915778160095,"High","High","High","Low",145.858209,-16.031968
"Agincourt Reef 2b","GORG",2012,0.00152173913043478,0.00797451746567278,92,0.000831400918371334,14012,"Cairns-Cooktown",TRUE,0.22643569111824,1.88456606864929,0.187423273921013,3.12915778160095,"High","High","High","Low",145.858209,-16.031968
"Agincourt Reef 2b","MACRO",2012,0.00369565217391304,0.00934296365719495,92,0.000974071296268274,14012,"Cairns-Cooktown",TRUE,0.22643569111824,1.88456606864929,0.187423273921013,3.12915778160095,"High","High","High","Low",145.858209,-16.031968
"Agincourt Reef 2b","MSE",2012,0.0706521739130435,0.12747595634382,92,0.0132902871716985,14012,"Cairns-Cooktown",TRUE,0.22643569111824,1.88456606864929,0.187423273921013,3.12915778160095,"High","High","High","Low",145.858209,-16.031968
"Agincourt Reef 2b","MSEM",2012,0.00956521739130435,0.0210657288200872,92,0.00219625405080286,14012,"Cairns-Cooktown",TRUE,0.22643569111824,1.88456606864929,0.187423273921013,3.12915778160095,"High","High","High","Low",145.858209,-16.031968
"Agincourt Reef 2b","NON_COLONIZABLE",2012,0.177391304347826,0.261529186761153,92,0.0272663025681626,14012,"Cairns-Cooktown",TRUE,0.22643569111824,1.88456606864929,0.187423273921013,3.12915778160095,"High","High","High","Low",145.858209,-16.031968
"Agincourt Reef 2b","OTH-SF",2012,0.0956521739130435,0.110297343853586,92,0.0114992930128411,14012,"Cairns-Cooktown",TRUE,0.22643569111824,1.88456606864929,0.187423273921013,3.12915778160095,"High","High","High","Low",145.858209,-16.031968
"Agincourt Reef 2b","OTHER",2012,0.0195652173913043,0.056020267986033,92,0.00584051667721398,14012,"Cairns-Cooktown",TRUE,0.22643569111824,1.88456606864929,0.187423273921013,3.12915778160095,"High","High","High","Low",145.858209,-16.031968
"Agincourt Reef 4","ACR_BRA",2012,0.02528,0.070808419400976,125,0.00633329756639589,14016,"Cairns-Cooktown",TRUE,0.21880804002285,2.02030038833618,0.187423273921013,3.62270379066467,"High","High","High","High",145.8350353,-15.94959944
"Agincourt Reef 4","ACR_TCD",2012,0.01568,0.0290254615700567,125,0.00259611620595819,14016,"Cairns-Cooktown",TRUE,0.21880804002285,2.02030038833618,0.187423273921013,3.62270379066467,"High","High","High","High",145.8350353,-15.94959944
"Agincourt Reef 4","BRA_nACR",2012,0.06496,0.106245485672599,125,0.00950288513065645,14016,"Cairns-Cooktown",TRUE,0.21880804002285,2.02030038833618,0.187423273921013,3.62270379066467,"High","High","High","High",145.8350353,-15.94959944
"Agincourt Reef 4","CCA",2012,0.06624,0.0995608421535426,125,0.00890499243809791,14016,"Cairns-Cooktown",TRUE,0.21880804002285,2.02030038833618,0.187423273921013,3.62270379066467,"High","High","High","High",145.8350353,-15.94959944
"Agincourt Reef 4","EAM",2012,0.45536,0.244317825792552,125,0.0218524506634839,14016,"Cairns-Cooktown",TRUE,0.21880804002285,2.02030038833618,0.187423273921013,3.62270379066467,"High","High","High","High",145.8350353,-15.94959944
"Agincourt Reef 4","FLP",2012,0.05088,0.0617227934057302,125,0.00552065447265554,14016,"Cairns-Cooktown",TRUE,0.21880804002285,2.02030038833618,0.187423273921013,3.62270379066467,"High","High","High","High",145.8350353,-15.94959944
"Agincourt Reef 4","GORG",2012,8e-04,0.00532795427666131,125,0.000476546717745017,14016,"Cairns-Cooktown",TRUE,0.21880804002285,2.02030038833618,0.187423273921013,3.62270379066467,"High","High","High","High",145.8350353,-15.94959944
"Agincourt Reef 4","MACRO",2012,0.01136,0.0341095010886429,125,0.00305084652451234,14016,"Cairns-Cooktown",TRUE,0.21880804002285,2.02030038833618,0.187423273921013,3.62270379066467,"High","High","High","High",145.8350353,-15.94959944
"Agincourt Reef 4","MSE",2012,0.04624,0.0936161000765808,125,0.00837327854238632,14016,"Cairns-Cooktown",TRUE,0.21880804002285,2.02030038833618,0.187423273921013,3.62270379066467,"High","High","High","High",145.8350353,-15.94959944
"Agincourt Reef 4","MSEM",2012,0.03616,0.0773636573842717,125,0.0069196158759694,14016,"Cairns-Cooktown",TRUE,0.21880804002285,2.02030038833618,0.187423273921013,3.62270379066467,"High","High","High","High",145.8350353,-15.94959944
"Agincourt Reef 4","NON_COLONIZABLE",2012,0.13888,0.269961813309144,125,0.0241461186355342,14016,"Cairns-Cooktown",TRUE,0.21880804002285,2.02030038833618,0.187423273921013,3.62270379066467,"High","High","High","High",145.8350353,-15.94959944
"Agincourt Reef 4","OTH-SF",2012,0.07872,0.118940049957409,125,0.0106383214780795,14016,"Cairns-Cooktown",TRUE,0.21880804002285,2.02030038833618,0.187423273921013,3.62270379066467,"High","High","High","High",145.8350353,-15.94959944
"Agincourt Reef 4","OTHER",2012,0.00944,0.0230813428356492,125,0.00206445806369958,14016,"Cairns-Cooktown",TRUE,0.21880804002285,2.02030038833618,0.187423273921013,3.62270379066467,"High","High","High","High",145.8350353,-15.94959944
"Agincourt Reef 5","ACR_BRA",2012,0.0393478260869565,0.0713111792143171,92,0.00743470437479619,14013,"Cairns-Cooktown",TRUE,0.227774128317833,1.88456606864929,0.187423273921013,2.94593048095703,"High","High","High","Low",145.828992,-16.04228
"Agincourt Reef 5","ACR_TCD",2012,0.0395652173913043,0.0553095791532178,92,0.00576642224443831,14013,"Cairns-Cooktown",TRUE,0.227774128317833,1.88456606864929,0.187423273921013,2.94593048095703,"High","High","High","Low",145.828992,-16.04228
"Agincourt Reef 5","BRA_nACR",2012,0.0965217391304348,0.105397570531134,92,0.0109884563311693,14013,"Cairns-Cooktown",TRUE,0.227774128317833,1.88456606864929,0.187423273921013,2.94593048095703,"High","High","High","Low",145.828992,-16.04228
"Agincourt Reef 5","CCA",2012,0.0123913043478261,0.0207215747427275,92,0.00216037350790985,14013,"Cairns-Cooktown",TRUE,0.227774128317833,1.88456606864929,0.187423273921013,2.94593048095703,"High","High","High","Low",145.828992,-16.04228
"Agincourt Reef 5","EAM",2012,0.475652173913043,0.237233618560781,92,0.0247333144844204,14013,"Cairns-Cooktown",TRUE,0.227774128317833,1.88456606864929,0.187423273921013,2.94593048095703,"High","High","High","Low",145.828992,-16.04228
"Agincourt Reef 5","FLP",2012,0.0217391304347826,0.0282301645097321,92,0.00294319810574081,14013,"Cairns-Cooktown",TRUE,0.227774128317833,1.88456606864929,0.187423273921013,2.94593048095703,"High","High","High","Low",145.828992,-16.04228
"Agincourt Reef 5","GORG",2012,0.000652173913043478,0.00464198418784372,92,0.000483960306495219,14013,"Cairns-Cooktown",TRUE,0.227774128317833,1.88456606864929,0.187423273921013,2.94593048095703,"High","High","High","Low",145.828992,-16.04228
"Agincourt Reef 5","MACRO",2012,0.00369565217391304,0.0145040647053365,92,0.00151215327673957,14013,"Cairns-Cooktown",TRUE,0.227774128317833,1.88456606864929,0.187423273921013,2.94593048095703,"High","High","High","Low",145.828992,-16.04228
"Agincourt Reef 5","MSE",2012,0.0423913043478261,0.0999271115156563,92,0.0104181215530515,14013,"Cairns-Cooktown",TRUE,0.227774128317833,1.88456606864929,0.187423273921013,2.94593048095703,"High","High","High","Low",145.828992,-16.04228
